,name,brand,model,type,source_url,origin,km_driven,external_color,seats,fuels,transmission,price,year
13,Toyota Prado TXL sản xuất 2015,Toyota,Prado,suv,https://xetot.com/ha-noi/ban-xe/toyota-prado-txl-san-xuat-2015/12856,imported,100000,Đen,7,gasoline,automatic,1220000000,2015
14,Volvo S90 LWB sản xuất 2022 siêu mới,Volvo,S90,sedan,https://xetot.com/ha-noi/ban-xe/volvo-s90-lwb-san-xuat-2022-sieu-moi/12775,imported,11000,Đen,5,gasoline,automatic,2190000000,2022
15,Lincoln Navigator Black Label 2018,Lincoln,Navigator,suv,https://xetot.com/ha-noi/ban-xe/lincoln-navigator-black-label-2018/12647,imported,25000,Đen,7,gasoline,automatic,5950000000,2018
16,Toyota Innova E chuẩn 70309 Km chính hãng Toyota,Toyota,Innova,van,https://xetot.com/ho-chi-minh/ban-xe/toyota-innova-e-chuan-70309-km-chinh-hang-toyota/12606,imported,70309,Bạc,8,gasoline,manual,580000000,2019
17,Toyota Rush chuẩn 85694 Km chính hãng Toyota,Toyota,Rush,van,https://xetot.com/ho-chi-minh/ban-xe/toyota-rush-chuan-85694-km-chinh-hang-toyota/12539,imported,85694,Đen,8,gasoline,automatic,560000000,2019
18,Toyota Cross 1 8V chuẩn 21626 Km chính hãng Toyota,Toyota,Corolla Cross,suv,https://xetot.com/ho-chi-minh/ban-xe/toyota-cross-1-8v-chuan-21626-km-chinh-hang-toyota/12450,imported,21626,Đỏ,5,gasoline,automatic,790000000,2021
19,Toyota Fortuner 24MT chuẩn 50450KM chính hãng Toyota,Toyota,Fortuner,suv,https://xetot.com/ho-chi-minh/ban-xe/toyota-fortuner-24mt-chuan-50450km-chinh-hang-toyota/9541,imported,50450,Đen,7,diesel,manual,980000000,2019
20,Toyota Fortuner 2 4MT đã qua sử dụng chính hãng Toyota,Toyota,Fortuner,suv,https://xetot.com/ho-chi-minh/ban-xe/toyota-fortuner-2-4mt-da-qua-su-dung-chinh-hang-toyota/9244,imported,75897,Vàng,7,diesel,manual,990000000,2020
21,TOYOTA VELOZ KM hấp dẫn 2023 giao ngay tặng KS BHTV và Phiếu Xăng,Toyota,Veloz,suv,https://xetot.com/ha-noi/ban-xe/toyota-veloz-km-hap-dan-2023-giao-ngay-tang-ks-bhtv-va-phieu-xang/11688,imported,0,Đen,7,gasoline,automatic,613000000,2022
22,Toyota Raize turbo giao ngay giá ưu đãi Tặng KS BH,Toyota,Raize,suv,https://xetot.com/ha-noi/ban-xe/toyota-raize-turbo-giao-ngay-gia-uu-dai-tang-ks-bh/11689,imported,0,Trắng,5,gasoline,automatic,540000000,2023
23,Fortuner đủ màu đủ phiên bản giao ngay giá tốt giảm tiền mặt tặng kính sàn,Toyota,Fortuner,suv,https://xetot.com/ha-noi/ban-xe/fortuner-du-mau-du-phien-ban-giao-ngay-gia-tot-giam-tien-mat-tang-kinh-san/11714,imported,0,Đen,7,NONE,automatic,1016000000,2023
24,TOYOTA CROSS đủ phiên bản đủ màu giao ngay khuyến mại hấp dẫn tặng KS BH,Toyota,Corolla Cross,suv,https://xetot.com/ha-noi/ban-xe/toyota-cross-du-phien-ban-du-mau-giao-ngay-khuyen-mai-hap-dan-tang-ks-bh/12364,imported,0,Đỏ,5,gasoline,automatic,715000000,2022
25,Camry 2023 đủ phiên bản đủ màu giảm giá sâu KS BHTV,Toyota,Camry,sedan,https://xetot.com/ha-noi/ban-xe/camry-2023-du-phien-ban-du-mau-giam-gia-sau-ks-bhtv/12378,imported,0,Đen,5,gasoline,automatic,1070000000,2023
26,Suzuki Ertiga 2019 GL 5 MT Đẹp,Suzuki,Ertiga,NONE,https://xetot.com/ho-chi-minh/ban-xe/suzuki-ertiga-2019-gl-5-mt-dep/13079,imported,48000,Đen,7,gasoline,manual,395000000,2019
27,Kia Rondo GAT 2019 số tự động màu trắng,Kia,Rondo,van,https://xetot.com/ho-chi-minh/ban-xe/kia-rondo-gat-2019-so-tu-dong-mau-trang/13032,imported,73000,Trắng,7,gasoline,automatic,498000000,2019
28,Kia Seltos Premium 2020 màu đen đi 11000km,Kia,Seltos,suv,https://xetot.com/ho-chi-minh/ban-xe/kia-seltos-premium-2020-mau-den-di-11000km/12845,imported,11000,Đen,5,gasoline,automatic,646000000,2020
29,Kia Sorento GATH 2017 máy xăng bản Full,Kia,Sorento,suv,https://xetot.com/ho-chi-minh/ban-xe/kia-sorento-gath-2017-may-xang-ban-full/11906,imported,83000,Bạc,7,gasoline,automatic,618000000,2017
30,Mazda 3 sedan bản 20AT sx 2016 màu đen,Mazda,3,sedan,https://xetot.com/ho-chi-minh/ban-xe/mazda-3-sedan-ban-20at-sx-2016-mau-den/12069,imported,60000,Đen,5,gasoline,automatic,468000000,2016
31,Mazda 3 Hatchback 2018 màu trắng đi 5 vạn,Mazda,3,hatchback,https://xetot.com/ho-chi-minh/ban-xe/mazda-3-hatchback-2018-mau-trang-di-5-van/12362,imported,55000,Trắng,5,gasoline,automatic,508000000,2018
32,Volkswagen TIGUAN LUXURY S BẢN CAO NHẤT CỦA TIGUAN,Volkswagen,Tiguan,suv,https://xetot.com/quang-ninh/ban-xe/volkswagen-tiguan-luxury-s-ba-n-cao-nha-t-cu-a-tiguan/13077,imported,321,Trắng,7,gasoline,automatic,1649000000,2021
33,Lexus RX 200T sx2017 xe cá nhân 1 chủ mua mới,Lexus,RX,suv,https://xetot.com/ho-chi-minh/ban-xe/lexus-rx-200t-sx2017-xe-ca-nhan-1-chu-mua-moi/12376,imported,65000,Đỏ,5,gasoline,automatic,2339000000,2017
34,Mercedes Benz E200 ĐenNâu sx2019 lên đồ chơi E63,Mercedes,E Class,sedan,https://xetot.com/ho-chi-minh/ban-xe/mercedes-benz-e200-dennau-sx2019-len-do-choi-e63/12812,imported,50000,Đen,5,gasoline,automatic,1560000000,2019
35,Audi Q5 2014 màu trắng 1 chủ,Audi,Q5,suv,https://xetot.com/ho-chi-minh/ban-xe/audi-q5-2014-mau-trang-1-chu/12867,imported,60000,Trắng,5,gasoline,automatic,695000000,2014
36,Mercedes GLC 250 2017 mới keng,Mercedes,GLC,suv,https://xetot.com/ho-chi-minh/ban-xe/mercedes-glc-250-2017-moi-keng/12979,imported,30000,Đen,5,gasoline,automatic,1290000000,2017
37,Mazda CX8 2021 màu trắng luxury,Mazda,CX-8,suv,https://xetot.com/ho-chi-minh/ban-xe/mazda-cx8-2021-mau-trang-luxury/12978,imported,50000,Trắng,7,gasoline,automatic,870000000,2021
38,Bán Tải Ranger ưu đãi phụ kiện chính hãng,Ford,Ranger,pickup,https://xetot.com/binh-duong/ban-xe/ban-tai-ranger-uu-dai-phu-kien-chinh-hang/12962,imported,0,Đỏ,5,diesel,automatic,665,2023
39,Ford TERRITORY xe sẵn giao ngay,Ford,Territory,suv,https://xetot.com/binh-duong/ban-xe/ford-territory-xe-san-giao-ngay/11239,imported,0,Trắng,5,gasoline,automatic,822000000,2023
40,Kia Sorento sx2021 máy Dầu 4x4 Signature 6 chổ,Kia,Sorento,suv,https://xetot.com/ho-chi-minh/ban-xe/kia-sorento-sx2021-may-dau-4x4-signature-6-cho/12980,imported,39000,Khác,6,diesel,automatic,1000000000,2021
41,Toyota Venza model 2010 35 nhập Mỹ bản FULL,Toyota,Venza,suv,https://xetot.com/ho-chi-minh/ban-xe/toyota-venza-model-2010-35-nhap-my-ban-full/12866,imported,65000,Trắng,5,gasoline,automatic,515000000,2010
42,Honda Civic 1chấm5 Turbo sx2017 dk2018 Nhập Thái,Honda,Civic,sedan,https://xetot.com/ho-chi-minh/ban-xe/honda-civic-1cham5-turbo-sx2017-dk2018-nhap-thai/12976,imported,50000,Đỏ,5,gasoline,automatic,550000000,2017
43,Mitsubishi Grunder nhập nguyên chiếc 2011,Mitsubishi,Khác,sedan,https://xetot.com/ho-chi-minh/ban-xe/mitsubishi-grunder-nhap-nguyen-chiec-2011/12306,imported,60000,Đen,5,gasoline,automatic,435000000,2011
44,Audi Q8 2021 còn bảo hàng chính hãng đến 2024,Audi,Q8,suv,https://xetot.com/ho-chi-minh/ban-xe/audi-q8-2021-con-bao-hang-chinh-hang-den-2024/12223,imported,10000,Xanh dương,5,gasoline,automatic,3979000000,2021
45,Bán Vinfast Fadil Plus 14AT 2020,Vinfast,Fadil,hatchback,https://xetot.com/ho-chi-minh/ban-xe/ban-vinfast-fadil-plus-14at-2020/12411,imported,40000,Đỏ,5,gasoline,automatic,358000000,2020
46,Bán Teramont SUV 7 chỗ đỏ cực đẹp mới HCM,Volkswagen,Teramont,suv,https://xetot.com/ho-chi-minh/ban-xe/ban-teramont-suv-7-cho-do-cuc-dep-moi-hcm/13066,imported,0,Đỏ,7,gasoline,automatic,2499000000,2022
47,Bentley Flying Spur V8 Frist Edition siêu lướt,Bentley,Flying Spur,sedan,https://xetot.com/ha-noi/ban-xe/bentley-flying-spur-v8-frist-edition-sieu-luot/10099,imported,12000,Đỏ,5,gasoline,automatic,19900000000,2021
48,Lincoln Navigator 2020 biển siêu VIP,Lincoln,Navigator,suv,https://xetot.com/ha-noi/ban-xe/lincoln-navigator-2020-bien-sieu-vip/9963,imported,20000,Đỏ,7,gasoline,automatic,8500000000,2020
49,Mazda 3 Hatckbach 15AT 2018,Mazda,3,hatchback,https://xetot.com/ho-chi-minh/ban-xe/mazda-3-hatckbach-15at-2018/12409,imported,55000,Trắng,5,gasoline,automatic,508000000,2018
50,Mazda 3 Hatckbach 15AT 2019,Mazda,3,hatchback,https://xetot.com/ho-chi-minh/ban-xe/mazda-3-hatckbach-15at-2019/12418,imported,30000,Trắng,5,gasoline,automatic,548000000,2019
51,Honda CRV L 15AT 2020 đã có Sensing,Honda,CR-V,suv,https://xetot.com/ho-chi-minh/ban-xe/honda-crv-l-15at-2020-da-co-sensing/12289,imported,27000,Khác,7,gasoline,automatic,908000000,2020
52,Hyundai Elantra 18AT 2015,Hyundai,Elantra,sedan,https://xetot.com/ho-chi-minh/ban-xe/hyundai-elantra-18at-2015/12288,imported,90000,Bạc,5,gasoline,automatic,418000000,2015
53,Mazda 2 sedan Luxury 2019 đi 20000km siêu mới,Mazda,2,sedan,https://xetot.com/ho-chi-minh/ban-xe/mazda-2-sedan-luxury-2019-di-20000km-sieu-moi/12846,imported,20000,Đỏ,5,gasoline,automatic,438000000,2019
54,Mazda 2 sedan 2021 bản tiêu chuẩn màu đỏ đi 31000km,Mazda,2,sedan,https://xetot.com/ho-chi-minh/ban-xe/mazda-2-sedan-2021-ban-tieu-chuan-mau-do-di-31000km/12963,imported,31000,Đỏ,5,gasoline,automatic,408000000,2021
55,Mitsubishi Attrage CVT 2022 số tự động màu xám xe nhập,Mitsubishi,Attrage,sedan,https://xetot.com/ho-chi-minh/ban-xe/mitsubishi-attrage-cvt-2022-so-tu-dong-mau-xam-xe-nhap/12572,imported,36000,Xám,5,gasoline,automatic,418000000,2022
56,Hyundai i10 sedan 2022 số sàn bản đủ đi 7000km,Hyundai,i10,sedan,https://xetot.com/ho-chi-minh/ban-xe/hyundai-i10-sedan-2022-so-san-ban-du-di-7000km/12156,imported,7000,Trắng,5,gasoline,manual,408000000,2022
57,Hyundai Tucson Đặc Biêt SX 2022 máy xăng mới đi 2600km,Hyundai,Tucson,suv,https://xetot.com/ho-chi-minh/ban-xe/hyundai-tucson-dac-biet-sx-2022-may-xang-moi-di-2600km/11538,imported,2600,Đỏ,5,gasoline,automatic,958000000,2022
58,Ford Everest xe có sẵn giao ngay,Ford,Everest,suv,https://xetot.com/binh-duong/ban-xe/ford-everest-xe-co-san-giao-ngay/11569,imported,0,Đen,7,diesel,automatic,1286000000,2023
59,Hyundai Tucson 2021 màu trắng bản đặc biệt đã đi 10000km,Hyundai,Tucson,suv,https://xetot.com/ha-noi/ban-xe/hyundai-tucson-2021-mau-trang-ban-dac-biet-da-di-10000km/13063,imported,10000,Trắng,5,gasoline,automatic,850000000,2021
60,Kia Sportage 2022 Line Premium Signature,Kia,Sportage,NONE,https://xetot.com/ho-chi-minh/ban-xe/kia-sportage-2022-line-premium-signature/10998,imported,1000,Trắng,5,gasoline,automatic,299000000,2022
61,Kia Rio 2015 đẹp,Kia,Rio,sedan,https://xetot.com/ho-chi-minh/ban-xe/kia-rio-2015-dep/13062,imported,150000,Bạc,5,gasoline,manual,278000000,2015
62,Bán Hyundai I10 12MT 2020,Hyundai,i10,sedan,https://xetot.com/ho-chi-minh/ban-xe/ban-hyundai-i10-12mt-2020/12485,imported,55000,Trắng,5,gasoline,manual,338000000,2020
63,Bán Kia Sorento GATH 24AT 2017,Kia,Sorento,suv,https://xetot.com/ho-chi-minh/ban-xe/ban-kia-sorento-gath-24at-2017/11824,imported,83000,Bạc,7,gasoline,automatic,618000000,2017
64,Volkswagen Teramont Giảm Kịch Sàn,Volkswagen,Teramont,suv,https://xetot.com/quang-ninh/ban-xe/volkswagen-teramont-giam-kich-san/12489,imported,0,Trắng,7,gasoline,automatic,2499000000,2022
65,Touareg elegance đỏ rượu vang giá HOT 2tỷ799·,Volkswagen,Touareg,suv,https://xetot.com/ho-chi-minh/ban-xe/touareg-elegance-do-ruou-vang-gia-hot-2ty799-/13061,imported,0,Đỏ,5,gasoline,automatic,2799000000,2023
66,Toyota Land Cruiser nhập Mỹ 2016,Toyota,Land Cruiser,suv,https://xetot.com/ha-noi/ban-xe/toyota-land-cruiser-nhap-my-2016/12621,imported,55000,Trắng,7,gasoline,automatic,4890000000,2016
67,Hyundai i10 HB 2021 số sàn bản đủ đi 14000km,Hyundai,i10,hatchback,https://xetot.com/ho-chi-minh/ban-xe/hyundai-i10-hb-2021-so-san-ban-du-di-14000km/12712,imported,14000,Trắng,5,gasoline,manual,368000000,2021
68,Vinfat Fadil Plus 2020 màu đỏ đi 4 vạn,Vinfast,Fadil,hatchback,https://xetot.com/ho-chi-minh/ban-xe/vinfat-fadil-plus-2020-mau-do-di-4-van/12427,imported,40000,Đỏ,5,gasoline,automatic,358000000,2020
69,Hyundai Elantra 18AT 2015 nhập khẩu,Hyundai,Elantra,sedan,https://xetot.com/ho-chi-minh/ban-xe/hyundai-elantra-18at-2015-nhap-khau/12022,imported,90000,Bạc,5,gasoline,automatic,418000000,2015
70,Hyundai Tucson TC 2021 màu nâu đi 8000km BSTP,Hyundai,Tucson,suv,https://xetot.com/ho-chi-minh/ban-xe/hyundai-tucson-tc-2021-mau-nau-di-8000km-bstp/11704,imported,8000,Nâu,5,gasoline,automatic,786000000,2021
71,Santafe 2020 máy xăng tiêu chuẩn màu trắng,Hyundai,Santa Fe,suv,https://xetot.com/ho-chi-minh/ban-xe/santafe-2020-may-xang-tieu-chuan-mau-trang/11241,imported,32000,Trắng,7,gasoline,automatic,938000000,2020
72,Toyota Corolla Altis 2002 xe lành chạy êm,Toyota,Corolla Altis,sedan,https://xetot.com/hai-phong/ban-xe/toyota-corolla-altis-2002-xe-lanh-chay-em/13059,imported,214400,Khác,5,gasoline,manual,169000000,2002
73,Bán Mazda 2 Luxury 15AT 2019,Mazda,2,sedan,https://xetot.com/ho-chi-minh/ban-xe/ban-mazda-2-luxury-15at-2019/12847,imported,20000,Đỏ,5,gasoline,automatic,438000000,2019
74,Chính chủ cần bán Hyundai Kona Turbo 2021,Hyundai,Kona,suv,https://xetot.com/ho-chi-minh/ban-xe/chinh-chu-can-ban-hyundai-kona-turbo-2021/13058,imported,21500,Đen,5,gasoline,automatic,635000000,2021
75,Volkswagen Tiguan Luxury S XE ĐỨC SIÊU KHUYẾN MẠI,Volkswagen,Tiguan,suv,https://xetot.com/quang-ninh/ban-xe/volkswagen-tiguan-luxury-s-xe-du-c-sieu-khuye-n-ma-i/13057,imported,123,Trắng,7,gasoline,automatic,1650000000,2021
76,"Volkswagen Polo Màu Trắng Khuyến Mại Khủng, Giá Siêu Tốt",Volkswagen,Polo,hatchback,https://xetot.com/quang-ninh/ban-xe/volkswagen-polo-mau-trang-khuyen-mai-khung-gia-sieu-tot/12516,imported,0,Trắng,5,gasoline,automatic,695000000,2021
77,Xe khách 16 chỗ Hyundai Solati 2023,Hyundai,Solati,NONE,https://xetot.com/vinh-long/ban-xe/xe-khach-16-cho-hyundai-solati-2023/13056,imported,0,Trắng,16,diesel,manual,1100000000,2023
78,Toyota veloz bạc đời 2022 mà bạc,Toyota,Veloz,suv,https://xetot.com/ha-noi/ban-xe/toyota-veloz-bac-doi-2022-ma-bac/13055,imported,19000,Bạc,4,gasoline,automatic,655000000,2022
79,captiva 2015 số tự động đẹp như ngọc trinh,Chevrolet,Captiva,suv,https://xetot.com/ho-chi-minh/ban-xe/captiva-2015-so-tu-dong-dep-nhu-ngoc-trinh/12177,imported,54000,Trắng,7,gasoline,automatic,475,2016
80,Mazda 6 2019 20 cọp nguyên con,Mazda,6,sedan,https://xetot.com/ho-chi-minh/ban-xe/mazda-6-2019-20-cop-nguyen-con/12893,imported,40000,Đỏ,5,gasoline,automatic,600000000,2019
81,Mitsubishi Attrage CVT 12AT 2022,Mitsubishi,Attrage,sedan,https://xetot.com/ho-chi-minh/ban-xe/mitsubishi-attrage-cvt-12at-2022/12573,imported,36000,Xám,5,gasoline,automatic,418000000,2022
82,Hyundai Accent MT Base Trắng 2022,Hyundai,Accent,sedan,https://xetot.com/ho-chi-minh/ban-xe/hyundai-accent-mt-base-trang-2022/13054,imported,0,Đen,5,gasoline,manual,440362700,2022
83,Hyundai Santa Fe Xăng Tiêu Chuẩn 2022,Hyundai,Santa Fe,suv,https://xetot.com/ho-chi-minh/ban-xe/hyundai-santa-fe-xang-tieu-chuan-2022/13053,imported,0,Đỏ,7,gasoline,automatic,1046000000,2022
84,Volkswagen Tiguan Vin2022 cực đẹp màu đỏ xe sẵn giá cực tốt,Volkswagen,Tiguan,suv,https://xetot.com/ho-chi-minh/ban-xe/volkswagen-tiguan-vin2022-cuc-dep-mau-do-xe-san-gia-cuc-tot/13052,imported,0,Đen,5,gasoline,None,1699000000,2022
85,Volkswagen Teramont 2023 ưu đãi lên đến 250 triệu dồng,Volkswagen,Teramont,suv,https://xetot.com/ho-chi-minh/ban-xe/volkswagen-teramont-2023-uu-dai-len-den-250-trieu-dong/13051,imported,0,Xám,7,gasoline,automatic,2499000000000,2023
86,Hyundai i10 sedan 2020 số sàn bản đủ màu trắng,Hyundai,i10,sedan,https://xetot.com/ho-chi-minh/ban-xe/hyundai-i10-sedan-2020-so-san-ban-du-mau-trang/12483,imported,59000,Trắng,5,gasoline,manual,338000000,2020
87,Honda City TOP 2020 màu đen biển tỉnh không lỗi,Honda,City,sedan,https://xetot.com/ho-chi-minh/ban-xe/honda-city-top-2020-mau-den-bien-tinh-khong-loi/12689,imported,64000,Đen,5,gasoline,automatic,488000000,2020
88,Ford Everest 2019 số tự động máy dầu 1 cầu BSTP,Ford,Everest,suv,https://xetot.com/ho-chi-minh/ban-xe/ford-everest-2019-so-tu-dong-may-dau-1-cau-bstp/11243,imported,63000,Xám,7,diesel,automatic,996000000,2019
89,Kia Morning S 2019 tự động màu bạc đi 4 vạn,Kia,Morning,hatchback,https://xetot.com/ho-chi-minh/ban-xe/kia-morning-s-2019-tu-dong-mau-bac-di-4-van/10257,imported,40000,Bạc,5,gasoline,automatic,358000000,2019
90,Hyundai Kona đặc biệt 2018 màu đen đi 37000km,Hyundai,Kona,suv,https://xetot.com/ho-chi-minh/ban-xe/hyundai-kona-dac-biet-2018-mau-den-di-37000km/10175,imported,37000,Đen,5,gasoline,automatic,608000000,2018
91,ALTIS đủ màu đủ phiên bản giá tốt TẶNG KS BHTV,Toyota,Corolla Altis,sedan,https://xetot.com/ha-noi/ban-xe/altis-du-mau-du-phien-ban-gia-tot-tang-ks-bhtv/11712,imported,0,Đen,5,NONE,automatic,684000000,2023
92,Ford Ranger xe sẵn giao ngay quà tặng liền tay,Ford,Ranger,pickup,https://xetot.com/binh-duong/ban-xe/ford-ranger-xe-san-giao-ngay-qua-tang-lien-tay/11238,imported,0,Trắng,5,diesel,automatic,688000000,2023
93,Mercedes GLC 2020 sx t12 2020 mới keng,Mercedes,GLC,suv,https://xetot.com/ho-chi-minh/ban-xe/mercedes-glc-2020-sx-t12-2020-moi-keng/13013,imported,30000,Xám,5,gasoline,automatic,1395000000,2020
94,Chính chủ cần bán vinfast fadil 2022,Vinfast,Fadil,hatchback,https://xetot.com/ha-noi/ban-xe/chinh-chu-can-ban-vinfast-fadil-2022/13050,imported,2000,Đỏ,4,gasoline,automatic,335000000,2022
95,Hyundai Sonata 2010 ban den nhap khau Han Quoc da di 120000km,Hyundai,Sonata,sedan,https://xetot.com/hung-yen/ban-xe/hyundai-sonata-2010-ban-den-nhap-khau-han-quoc-da-di-120000km/13049,imported,120000,Đen,5,gasoline,automatic,370000000,2010
96,Tiễn em Mazda 3 2016 kiếm ck cho em ấy,Mazda,3,NONE,https://xetot.com/ho-chi-minh/ban-xe/tien-em-mazda-3-2016-kiem-ck-cho-em-ay/13048,imported,12345,Đen,5,gasoline,automatic,395000000,2016
97,Bán Kia Rondo GAT 20AT 2019,Kia,Rondo,van,https://xetot.com/ho-chi-minh/ban-xe/ban-kia-rondo-gat-20at-2019/13047,imported,70000,Trắng,7,gasoline,automatic,498000000,2019
98,Bán Xe Kia Sedona 7 chỗ chính chủ còn rất mới,Kia,Sedona,van,https://xetot.com/ho-chi-minh/ban-xe/ban-xe-kia-sedona-7-cho-chinh-chu-con-rat-moi/13046,imported,41788,Đen,7,diesel,automatic,920000000,2020
99,Toyota Innova 2018 mt,Toyota,Innova,suv,https://xetot.com/ho-chi-minh/ban-xe/toyota-innova-2018-mt/13045,imported,87000,Xám,7,gasoline,manual,490000000,2018
100,Ford Everest 2013 dầu số sàn 7 chỗ,Ford,Everest,suv,https://xetot.com/ha-noi/ban-xe/ford-everest-2013-dau-so-san-7-cho/13034,imported,130000,Bạc,7,diesel,manual,340000000,2013
101,Hyundai Starex 2005 dầu 6 chỗ 800kg còn rất tốt ko lỗi,Hyundai,Starex,van,https://xetot.com/ha-noi/ban-xe/hyundai-starex-2005-dau-6-cho-800kg-con-rat-tot-ko-loi/12862,imported,180000,Đen,6,diesel,manual,120000000,2005
102,Hyundai Starex 2004 dau 6 cho 800kg xe dep ko loi,Hyundai,Starex,van,https://xetot.com/ha-noi/ban-xe/hyundai-starex-2004-dau-6-cho-800kg-xe-dep-ko-loi/12861,imported,170000,Bạc,6,diesel,manual,115000000,2004
103,Nissan teranoll 2004 máy dầu tubo intecolo 2 cầu xe cực đẹp chính chủ đã lên màn,Nissan,Khác,suv,https://xetot.com/ha-noi/ban-xe/nissan-teranoll-2004-may-dau-tubo-intecolo-2-cau-xe-cuc-dep-chinh-chu-da-len-man/12254,imported,145000,Xanh dương,7,diesel,manual,260000000,2004
104,ssangyong stavic máy dầu 6 chô ko liên hạn sx 2009 điều hoah mát rét xe nguyên bản,Hãng khác,Dòng khác,suv,https://xetot.com/ha-noi/ban-xe/ssangyong-stavic-may-dau-6-cho-ko-lien-han-sx-2009-dieu-hoah-mat-ret-xe-nguyen-ban/12253,imported,130000,Bạc,6,diesel,manual,170000000,2009
105,Hyundai trajet sx 2004 AT máy dầu 9 chỗ nhập khẩu XE CỰC ĐEP,Hyundai,Khác,sedan,https://xetot.com/ha-noi/ban-xe/hyundai-trajet-sx-2004-at-may-dau-9-cho-nhap-khau-xe-cuc-dep/12250,imported,150000,Bạc,9,diesel,automatic,190000000,2004
106,𝐕𝐈𝐍𝐅𝐀𝐒𝐓 𝐕𝐅𝟓 𝐏𝐋𝐔𝐒 trả trước chỉ từ 90 Triệu nhận xe ngay,Vinfast,VF5,suv,https://xetot.com/ho-chi-minh/ban-xe/-tra-truoc-chi-tu-90-trieu-nhan-xe-ngay/13033,imported,0,Trắng,5,electric,automatic,428000000,2023
107,Kia Seltos 2021 bản deluxe màu đỏ đi 17000km,Kia,Seltos,suv,https://xetot.com/ho-chi-minh/ban-xe/kia-seltos-2021-ban-deluxe-mau-do-di-17000km/12282,imported,17000,Đỏ,5,gasoline,automatic,588000000,2021
108,Mazda 3 Hb sx 2019 đi 30 ngàn mới leng keng,Mazda,3,hatchback,https://xetot.com/ho-chi-minh/ban-xe/mazda-3-hb-sx-2019-di-30-ngan-moi-leng-keng/12263,imported,30000,Trắng,5,gasoline,automatic,548000000,2019
